satellite_id,satellite_acronym,instrument_id,slug,name,fullname,instrument_type,providing_agency,start_date,eol,status,classification
1,ACRIMSat,9,acrim_iii,ACRIM-III,Active Cavity Radiometer Irradiance Monitoring - III,Solar irradiance monitor,NASA,Mar 2000,14 Dec 2013,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, Solar irradiance monitor "
2,ADEOS,366,nscat,NSCAT,NASA Scatterometer,Radar scatterometer,NASA,Nov 1996,30 Jun 1997,N/A,"Earth observation instrument, Active and radio-occultation sensor, Scatterometer"
2,ADEOS,423,ris,RIS,Retroreflector In Space,Positioning system,JAXA,Nov 1996,30 Jun 1997,N/A,"Other payload component, Positioning system"
2,ADEOS,215,ilas_i,ILAS-I,Improved Limb Atmosperic Spectrometer - I,Limb sounder,JAXA,Nov 1996,30 Jun 1997,N/A,"Earth observation instrument, Limb sounders, Limb sounder"
2,ADEOS,571,toms,TOMS,Total Ozone Mapping Spectrometer,Cross-nadir scanning SW sounder,NASA,Nov 1996,30 Jun 1997,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, Cross-nadir shortwave (UV/VIS) sounder"
2,ADEOS,371,octs,OCTS,Ocean Color and Temperature Scanner,Moderate-resolution optical imager,JAXA,Nov 1996,30 Jun 1997,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, Moderate resolution optical imager"
2,ADEOS,220,img,IMG,Interferometric Monitor for Greenhouse gases,Cross-nadir infrared sounder,METI,Nov 1996,30 Jun 1997,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, Cross-nadir infrared sounder, possibly including VIS channels"
2,ADEOS,64,avnir,AVNIR,Advanced Visible and Near-Infrared Radiometer,High-resolution optical imager,JAXA,Nov 1996,30 Jun 1997,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
2,ADEOS,405,polder,POLDER,Polarization and Directionality of the Earth’s Reflectances,Moderate-resolution optical imager,CNES,Nov 1996,30 Jun 1997,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, Moderate resolution optical imager"
3,ADEOS-2,482,seawinds,SeaWinds,SeaWinds,Radar scatterometer,NASA,Mar 2003,25 Oct 2003,N/A,"Earth observation instrument, Active and radio-occultation sensor, Scatterometer"
3,ADEOS-2,156,gli,GLI,Global Imager,Moderate-resolution optical imager,JAXA,Mar 2003,25 Oct 2003,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, Moderate resolution optical imager"
3,ADEOS-2,116,dcs_adeos,DCS (ADEOS),Data Collection System,Data collection system,CNES,Mar 2003,25 Oct 2003,N/A,"Other payload component, Data Collection System"
3,ADEOS-2,216,ilas_ii,ILAS-II,Improved Limb Atmosperic Spectrometer - II,Limb sounder,JAXA,Mar 2003,25 Oct 2003,N/A,"Earth observation instrument, Limb sounders, Limb sounder"
3,ADEOS-2,27,amsr,AMSR,Advanced Microwave Scanning Radiometer,Microwave conical scanning radiometer,JAXA,Mar 2003,25 Oct 2003,N/A,"Earth observation instrument, Passive microwave radiometer, Conical scanning microwave radiometer"
3,ADEOS-2,405,polder,POLDER,Polarization and Directionality of the Earth’s Reflectances,Moderate-resolution optical imager,CNES,Mar 2003,25 Oct 2003,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, Moderate resolution optical imager"
4,Aeolus,17,aladin,ALADIN,Atmospheric Laser Doppler Instrument,Space lidar,ESA,11 Nov 2018,05 Jul 2023,inactive,"Earth observation instrument, Active and radio-occultation sensor, Lidar (Doppler lidar, backscatter lidar, lidar Dial, lidar altimeter)"
5,ALOS,387,palsar,PALSAR,Phased-Array L-band Synthetic Aperture Radar,Imaging radar (SAR),JAXA,Apr 2006,22 Apr 2011,N/A,"Earth observation instrument, Active and radio-occultation sensor, Imaging radar (SAR)"
5,ALOS,65,avnir_2,AVNIR-2,Advanced Visible and Near-Infrared Radiometer - 2,High-resolution optical imager,JAXA,Apr 2006,22 Apr 2011,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
5,ALOS,411,prism,PRISM,Panchromatic Remote-sensing Instrument for Stereo Mapping,High-resolution optical imager,JAXA,Apr 2006,22 Apr 2011,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
6,ALOS-2,944,circ,CIRC,Compact Infrared Camera,High-resolution optical imager,JAXA,25 Aug 2014,≥2026,active,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
6,ALOS-2,388,palsar_2,PALSAR-2,Phased-Array L-band Synthetic Aperture Radar - 2,Imaging radar (SAR),JAXA,25 Aug 2014,≥2026,active,"Earth observation instrument, Active and radio-occultation sensor, Imaging radar (SAR)"
6,ALOS-2,388,palsar_2,PALSAR-2,Phased-Array L-band Synthetic Aperture Radar - 2,Imaging radar (SAR),JAXA,25 Aug 2014,≥2026,active,"Earth observation instrument, Active and radio-occultation sensor, Imaging radar (SAR)"
7,ALOS-3,946,wish,WISH,Wide-Swath and High-Resolution Optical Imager,High-resolution optical imager,JAXA,Mar 2023,06 Mar 2023,commissioning,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
8,AlSat-1,513,slim6,SLIM6,Surrey Linear Imager Multispectral 6 channels - but 3 spectral bands,High-resolution optical imager,ASAL,Feb 2003,15 Aug 2010,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
9,AlSat-2,355,naomi_alsat,NAOMI (AlSat),New AstroSat Optical Modular Instrument,High-resolution optical imager,CAST,Oct 2010,≥2019,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
10,AlSat-2B,355,naomi_alsat,NAOMI (AlSat),New AstroSat Optical Modular Instrument,High-resolution optical imager,CAST,15 2017,≥2030,active,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
11,Amazônia-1,66,awfi,AWFI,Advanced Wide Field Imager,High-resolution optical imager,INPE,May 2021,≥2026,active,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
12,ASCENDS,86,co2_lidar,CO2 lidar,Carbon dioxide lidar,Space lidar,NASA,TBD,TBD,N/A,"Earth observation instrument, Active and radio-occultation sensor, Lidar (Doppler lidar, backscatter lidar, lidar Dial, lidar altimeter)"
12,ASCENDS,85,co_sensor,CO sensor,Carbon oxide sensor,Cross-nadir infrared sounder,NASA,TBD,TBD,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, Cross-nadir infrared sounder, possibly including VIS channels"
13,ATS-1,532,sscc,SSCC,Spin Scan Cloud Camera,Moderate-resolution optical imager,NASA,Mar 1967,01 Dec 1978,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, Moderate resolution optical imager"
14,ATS-3,318,msscc,MSSCC,Multi-color Spin Scan Cloud Camera,Moderate-resolution optical imager,NASA,Feb 1968,01 Dec 1978,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, Moderate resolution optical imager"
15,ATS-6,597,vhrr_ats,VHRR (ATS),Very High Resolution Radiometer,Moderate-resolution optical imager,NASA,Jul 1974,03 Aug 1979,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, Moderate resolution optical imager"
16,BILSat,87,coban,COBAN,Multiband Camera,High-resolution optical imager,TÜBITAK-BILTEN,Dec 2003,15 Aug 2006,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
16,BILSat,397,pancam,PanCam,Panchromatic Camera,High-resolution optical imager,TÜBITAK-BILTEN,Dec 2003,15 Aug 2006,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
16,BILSat,313,msis,MSIS,Multispectral Imaging System,High-resolution optical imager,TÜBITAK-BILTEN,Dec 2003,15 Aug 2006,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
17,BIRD,201,hsrs,HSRS,Hot Spot Recognition Sensor,High-resolution optical imager,DLR,Jan 2002,01 Jul 2007,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
17,BIRD,187,horus,HORUS,High Optical Resolution Utility Sensor,High-resolution optical imager,DLR,Jan 2002,01 Jul 2007,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
17,BIRD,616,waoss_b,WAOSS-B,"Wide-Angle Optoelectronic Stereo Scanner, BIRD version",High-resolution optical imager,DLR,Jan 2002,01 Jul 2007,N/A,"Earth observation instrument, Passive optical radiometer or spectrometer, High resolution optical imager"
